"COUNTRY, AREA OR TERRITORY",Year,"Population 
(thousands)",% urban,At least basic,Limited (more than 30 mins),Unimproved,Safely managed,Accessible on premises,Available when needed,Free from contamination,Piped,Non-piped
Australia and New Zealand,2000,22 990,85,>99,<1,<1,-,97,90,-,94,6
Australia and New Zealand,2001,23 257,84,>99,<1,<1,-,97,91,-,94,6
Australia and New Zealand,2002,23 546,85,>99,<1,<1,-,97,91,-,94,6
Australia and New Zealand,2003,23 842,85,>99,<1,<1,-,97,92,-,95,5
Australia and New Zealand,2004,24 131,85,>99,<1,<1,-,98,92,-,95,5
Australia and New Zealand,2005,24 429,85,>99,<1,<1,-,98,93,-,95,5
Australia and New Zealand,2006,24 772,85,>99,<1,<1,-,98,93,-,95,4
Australia and New Zealand,2007,25 178,85,>99,<1,<1,-,98,94,-,96,4
Australia and New Zealand,2008,25 632,85,>99,<1,<1,-,98,94,-,96,4
Australia and New Zealand,2009,26 087,85,>99,<1,<1,-,99,94,-,96,4
Australia and New Zealand,2010,26 489,85,>99,<1,<1,-,99,95,-,96,3
Australia and New Zealand,2011,26 862,85,>99,<1,<1,-,>99,95,-,97,3
Australia and New Zealand,2012,27 264,86,>99,<1,<1,-,>99,96,-,97,3
Australia and New Zealand,2013,27 690,86,>99,<1,<1,-,>99,96,-,97,3
Australia and New Zealand,2014,28 119,86,>99,<1,<1,-,>99,96,-,97,3
Australia and New Zealand,2015,28 562,86,>99,<1,<1,-,>99,96,-,98,2
Australia and New Zealand,2016,29 045,86,>99,<1,<1,-,>99,96,-,98,2
Australia and New Zealand,2017,29 544,86,>99,<1,<1,-,>99,96,-,98,2
Australia and New Zealand,2018,30 021,86,>99,<1,<1,-,>99,96,-,98,2
Australia and New Zealand,2019,30 472,86,>99,<1,<1,-,>99,96,-,98,2
Australia and New Zealand,2020,30 814,86,>99,<1,<1,-,>99,96,-,-,-
Australia and New Zealand,2021,31 064,86,>99,<1,<1,-,>99,96,-,-,-
Australia and New Zealand,2022,31 333,87,>99,<1,<1,-,>99,96,-,-,-
Australia and New Zealand,2023,31 624,87,>99,<1,<1,-,>99,96,-,-,-
Australia and New Zealand,2024,31 927,87,>99,<1,<1,-,>99,96,-,-,-
Central and Southern Asia,2000,1 534 794,30,82,4,12,48,48,72,58,39,47
Central and Southern Asia,2001,1 563 977,30,82,4,11,49,49,73,58,39,47
Central and Southern Asia,2002,1 592 671,30,83,4,11,50,50,73,59,40,47
Central and Southern Asia,2003,1 621 101,31,83,4,10,51,51,74,59,41,47
Central and Southern Asia,2004,1 649 885,31,84,4,10,52,52,74,60,41,47
Central and Southern Asia,2005,1 678 121,31,85,4,10,54,54,75,60,42,46
Central and Southern Asia,2006,1 705 977,32,85,4,9,55,55,75,60,43,46
Central and Southern Asia,2007,1 733 040,32,86,4,9,56,56,76,61,43,46
Central and Southern Asia,2008,1 759 490,32,86,4,8,57,57,77,61,44,46
Central and Southern Asia,2009,1 786 570,33,87,4,8,58,58,77,62,45,46
Central and Southern Asia,2010,1 813 842,33,87,4,7,60,60,78,63,45,46
Central and Southern Asia,2011,1 840 842,34,88,3,7,61,61,78,65,46,46
Central and Southern Asia,2012,1 867 238,34,89,3,7,62,62,79,66,46,45
Central and Southern Asia,2013,1 892 781,34,89,3,6,63,63,79,67,47,45
Central and Southern Asia,2014,1 917 606,35,90,3,6,65,65,80,68,48,45
Central and Southern Asia,2015,1 941 567,35,90,3,5,66,66,80,70,48,45
Central and Southern Asia,2016,1 965 448,35,91,3,5,67,67,81,71,49,45
Central and Southern Asia,2017,1 989 429,36,91,3,5,68,68,81,72,50,45
Central and Southern Asia,2018,2 013 149,36,92,3,4,69,69,82,74,50,45
Central and Southern Asia,2019,2 036 731,37,92,3,4,71,71,82,75,51,44
Central and Southern Asia,2020,2 059 942,37,93,3,3,72,72,82,76,51,44
Central and Southern Asia,2021,2 081 130,38,94,3,3,73,73,83,77,52,44
Central and Southern Asia,2022,2 101 809,38,94,3,3,74,74,83,78,53,44
Central and Southern Asia,2023,2 123 893,39,95,3,2,76,76,84,80,53,44
Central and Southern Asia,2024,2 146 282,39,95,2,2,77,77,84,81,54,44
Eastern and South-Eastern Asia,2000,2 025 350,41,81,<1,15,68,68,77,69,46,36
Eastern and South-Eastern Asia,2001,2 043 034,42,82,<1,14,69,69,77,69,48,35
Eastern and South-Eastern Asia,2002,2 060 302,43,83,<1,13,70,70,78,70,50,34
Eastern and South-Eastern Asia,2003,2 076 016,44,84,<1,12,71,71,79,71,51,33
Eastern and South-Eastern Asia,2004,2 091 446,45,85,<1,12,71,73,80,71,53,32
Eastern and South-Eastern Asia,2005,2 107 133,46,85,<1,11,72,74,81,72,55,31
Eastern and South-Eastern Asia,2006,2 123 271,47,86,<1,11,72,75,81,72,56,30
Eastern and South-Eastern Asia,2007,2 139 701,48,87,<1,10,73,76,82,73,58,30
Eastern and South-Eastern Asia,2008,2 156 408,49,87,<1,9,74,77,83,74,59,29
Eastern and South-Eastern Asia,2009,2 173 485,50,88,<1,9,74,79,83,74,61,28
Eastern and South-Eastern Asia,2010,2 190 840,51,89,<1,8,75,80,84,75,62,27
Eastern and South-Eastern Asia,2011,2 207 927,52,89,1,8,75,81,85,75,64,26
Eastern and South-Eastern Asia,2012,2 225 809,53,90,1,7,76,82,86,76,65,26
Eastern and South-Eastern Asia,2013,2 243 785,54,90,1,7,76,83,86,76,66,25
Eastern and South-Eastern Asia,2014,2 260 819,55,91,1,7,76,84,87,76,68,24
